School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
609949,GRAY,Network 1,District,Traditional,PORTAGE PARK,998,1,59,99,91,124,89,92,107,97,120,119,0,0,0,0
609850,GREELEY,Network 4,District,Traditional,LAKE VIEW,315,0,19,27,21,27,28,37,34,36,41,45,0,0,0,0
610032,GREEN,Network 11,District,Traditional,WASHINGTON HEIGHTS,300,4,14,24,29,34,29,25,32,37,36,36,0,0,0,0
609952,GREENE,Network 8,District,Traditional,MCKINLEY PARK,305,15,25,50,39,40,39,49,48,0,0,0,0,0,0,0
609954,GREGORY,Network 5,District,Traditional,EAST GARFIELD PARK,280,3,15,22,27,24,34,28,22,25,42,38,0,0,0,0
609955,GRESHAM,Network 11,District,Traditional,AUBURN GRESHAM,329,4,23,25,30,33,29,34,47,35,37,32,0,0,0,0
609956,GRIMES,Network 10,District,Traditional,CLEARING,387,0,20,41,31,33,47,44,37,36,42,56,0,0,0,0
609944,GRISSOM,Network 13,District,Traditional,HEGEWISCH,296,0,14,36,28,27,37,27,31,37,29,30,0,0,0,0
609958,GUNSAULUS,ISP,District,Traditional,BRIGHTON PARK,658,0,30,49,70,59,74,75,78,78,71,74,0,0,0,0
609959,HAINES,Network 6,District,Traditional,ARMOUR SQUARE,527,0,18,37,55,40,54,65,51,65,62,80,0,0,0,0
609960,HALE,Network 10,District,Traditional,CLEARING,797,0,20,71,72,87,81,82,83,100,86,115,0,0,0,0
609808,HALEY,Network 13,District,Traditional,ROSELAND,439,3,28,41,58,39,46,46,48,38,40,52,0,0,0,0
609963,HAMILTON,Network 4,District,Traditional,LAKE VIEW,443,0,19,35,55,50,48,49,43,52,48,44,0,0,0,0
609964,HAMLINE,Network 8,District,Traditional,NEW CITY,532,22,33,50,52,50,54,54,66,58,48,45,0,0,0,0
609966,HAMMOND,Network 7,District,Traditional,SOUTH LAWNDALE,232,11,7,23,26,15,22,23,25,32,25,23,0,0,0,0
